Service;RefItemID;Prob_Relative;Prob_Absolute;AssignedGroup;DropCount
2;6719;100;0;5;1
2;6720;100;0;6;1
2;6721;100;0;7;1
2;6722;100;0;8;1
2;6723;100;0;9;1
2;6724;100;0;10;1
2;6725;100;0;11;1
2;6726;100;0;12;1
2;6727;30;0;1;1
2;6728;30;0;2;1
2;6729;30;0;3;1
2;6730;30;0;4;1
2;6731;30;0;5;1
2;6732;30;0;6;1
2;6733;30;0;7;1
2;6734;30;0;8;1
2;6735;30;0;9;1
2;6736;30;0;10;1
2;6737;30;0;11;1
2;6738;30;0;12;1
2;6739;30;0;1;1
2;6740;30;0;2;1
2;6741;30;0;3;1
2;6742;30;0;4;1
2;6743;30;0;5;1
2;6744;30;0;6;1
2;6745;30;0;7;1
2;6746;30;0;8;1
2;6747;30;0;9;1
2;6748;30;0;10;1
2;6749;30;0;11;1
2;6750;30;0;12;1
2;6751;100;0;1;1
2;6752;100;0;2;1
2;6753;100;0;3;1
2;6754;100;0;4;1
2;6755;100;0;5;1
2;6756;100;0;6;1
2;6757;100;0;7;1
2;6758;100;0;8;1
2;6759;100;0;9;1
2;6760;100;0;10;1
2;6761;100;0;11;1
2;6762;100;0;12;1
2;6763;30;0;1;1
2;6764;30;0;2;1
2;6765;30;0;3;1
2;6766;30;0;4;1
2;6767;30;0;5;1
2;6768;30;0;6;1
2;6769;30;0;7;1
2;6770;30;0;8;1
2;6771;30;0;9;1
2;6772;30;0;10;1
2;6773;30;0;11;1
2;6774;30;0;12;1
2;6775;60;0;1;1
2;6776;60;0;2;1
2;6777;60;0;3;1
2;6778;60;0;4;1
2;6779;60;0;5;1
2;6780;60;0;6;1
2;6781;60;0;7;1
2;6782;60;0;8;1
2;6783;60;0;9;1
2;6784;60;0;10;1
2;6785;60;0;11;1
2;6786;60;0;12;1
2;6787;100;0;1;1
2;6788;100;0;2;1
2;6789;100;0;3;1
2;6790;100;0;4;1
2;6791;100;0;5;1
2;6792;100;0;6;1
2;6793;100;0;7;1
2;6794;100;0;8;1
2;6795;100;0;9;1
2;6796;100;0;10;1
2;6797;100;0;11;1
2;6798;100;0;12;1
2;6799;100;0;1;1
2;6800;100;0;2;1
2;6801;100;0;3;1
2;6802;100;0;4;1
2;6803;100;0;5;1
2;6804;100;0;6;1
2;6805;100;0;7;1
2;6806;100;0;8;1
2;6807;100;0;9;1
2;6808;100;0;10;1
2;6809;100;0;11;1
2;6810;100;0;12;1
2;6811;100;0;1;1
2;6812;100;0;2;1
2;6813;100;0;3;1
2;6814;100;0;4;1
2;6815;100;0;5;1
2;6816;100;0;6;1
2;6817;100;0;7;1
2;6818;100;0;8;1
2;6819;100;0;9;1
2;6820;100;0;10;1
2;6821;100;0;11;1
2;6822;100;0;12;1
2;6823;100;0;1;1
2;6824;100;0;2;1
2;6825;100;0;3;1
2;6826;100;0;4;1
2;6827;100;0;5;1
2;6828;100;0;6;1
2;6829;100;0;7;1
2;6830;100;0;8;1
2;6831;100;0;9;1
2;6832;100;0;10;1
2;6833;100;0;11;1
2;6834;100;0;12;1
2;6835;100;0;1;1
2;6836;100;0;2;1
2;6837;100;0;3;1
2;6838;100;0;4;1
2;6839;100;0;5;1
2;6840;100;0;6;1
2;6841;100;0;7;1
2;6842;100;0;8;1
2;6843;100;0;9;1
2;6844;100;0;10;1
2;6845;100;0;11;1
2;6846;100;0;12;1
0;6847;0;0;1;1
0;6848;0;0;2;1
0;6849;0;0;3;1
0;6850;0;0;4;1
0;6851;0;0;5;1
0;6852;0;0;6;1
0;6853;0;0;7;1
0;6854;0;0;8;1
0;6855;0;0;9;1
0;6856;0;0;10;1
0;6857;0;0;11;1
0;6858;0;0;12;1
2;6859;300;0;1;1
2;6860;300;0;2;1
2;6861;300;0;3;1
2;6862;300;0;4;1
2;6863;300;0;5;1
2;6864;300;0;6;1
2;6865;300;0;7;1
2;6866;300;0;8;1
2;6867;300;0;9;1
2;6868;300;0;10;1
2;6869;300;0;11;1
2;6870;300;0;12;1
2;6871;300;0;1;1
2;6872;300;0;2;1
2;6873;300;0;3;1
2;6874;300;0;4;1
2;6875;300;0;5;1
2;6876;300;0;6;1
2;6877;300;0;7;1
2;6878;300;0;8;1
2;6879;300;0;9;1
2;6880;300;0;10;1
2;6881;300;0;11;1
2;6882;300;0;12;1
0;6883;0;0;1;1
0;6884;0;0;2;1
0;6885;0;0;3;1
0;6886;0;0;4;1
0;6887;0;0;5;1
0;6888;0;0;6;1
0;6889;0;0;7;1
0;6890;0;0;8;1
0;6891;0;0;9;1
0;6892;0;0;10;1
0;6893;0;0;11;1
0;6894;0;0;12;1
2;6895;60;0;1;1
2;6896;60;0;2;1
2;6897;60;0;3;1
2;6898;60;0;4;1
2;6899;60;0;5;1
2;6900;60;0;6;1
2;6901;60;0;7;1
2;6902;60;0;8;1
2;6903;60;0;9;1
2;6904;60;0;10;1
2;6905;60;0;11;1
2;6906;60;0;12;1
2;6907;60;0;1;1
2;6908;60;0;2;1
2;6909;60;0;3;1
2;6910;60;0;4;1
2;6911;60;0;5;1
2;6912;60;0;6;1
2;6913;60;0;7;1
2;6914;60;0;8;1
2;6915;60;0;9;1
2;6916;60;0;10;1
2;6917;60;0;11;1
2;6918;60;0;12;1
2;6919;60;0;1;1
2;6920;60;0;2;1
2;6921;60;0;3;1
2;6922;60;0;4;1
2;6923;60;0;5;1
2;6924;60;0;6;1
2;6925;60;0;7;1
2;6926;60;0;8;1
2;6927;60;0;9;1
2;6928;60;0;10;1
2;6929;60;0;11;1
2;6930;60;0;12;1
2;6931;60;0;1;1
2;6932;60;0;2;1
2;6933;60;0;3;1
2;6934;60;0;4;1
2;6935;60;0;5;1
2;6936;60;0;6;1
2;6937;60;0;7;1
2;6938;60;0;8;1
2;6939;60;0;9;1
2;6940;60;0;10;1
2;6941;60;0;11;1
2;6942;60;0;12;1
2;6943;30;0;1;1
2;6944;30;0;2;1
2;6945;30;0;3;1
2;6946;30;0;4;1
2;6947;30;0;5;1
2;6948;30;0;6;1
2;6949;30;0;7;1
2;6950;30;0;8;1
2;6951;30;0;9;1
2;6952;30;0;10;1
2;6953;30;0;11;1
2;6954;30;0;12;1
2;6955;100;0;1;1
2;6956;100;0;2;1
2;6957;100;0;3;1
2;6958;100;0;4;1
2;6959;100;0;5;1
2;6960;100;0;6;1
2;6961;100;0;7;1
2;6962;100;0;8;1
2;6963;100;0;9;1
2;6964;100;0;10;1
2;6965;100;0;11;1
2;6966;100;0;12;1
2;6967;60;0;1;1
2;6968;60;0;2;1
2;6969;60;0;3;1
2;6970;60;0;4;1
2;6971;60;0;5;1
2;6972;60;0;6;1
2;6973;60;0;7;1
2;6974;60;0;8;1
2;6975;60;0;9;1
2;6976;60;0;10;1
2;6977;60;0;11;1
2;6978;60;0;12;1
2;6979;60;0;1;1
2;6980;60;0;2;1
2;6981;60;0;3;1
2;6982;60;0;4;1
2;6983;60;0;5;1
2;6984;60;0;6;1
2;6985;60;0;7;1
2;6986;60;0;8;1
2;6987;60;0;9;1
2;6988;60;0;10;1
2;6989;60;0;11;1
2;6990;60;0;12;1
2;6991;60;0;1;1
2;6992;60;0;2;1
2;6993;60;0;3;1
2;6994;60;0;4;1
2;6995;60;0;5;1
2;6996;60;0;6;1
2;6997;60;0;7;1
2;6998;60;0;8;1
2;6999;60;0;9;1
2;7000;60;0;10;1
2;7001;60;0;11;1
2;7002;60;0;12;1
2;7003;60;0;1;1
2;7004;60;0;2;1
2;7005;60;0;3;1
2;7006;60;0;4;1
2;7007;60;0;5;1
2;7008;60;0;6;1
2;7009;60;0;7;1
2;7010;60;0;8;1
2;7011;60;0;9;1
2;7012;60;0;10;1
2;7013;60;0;11;1
2;7014;60;0;12;1
2;7015;100;0;1;1
2;7016;100;0;2;1
2;7017;100;0;3;1
2;7018;100;0;4;1
2;7019;100;0;5;1
2;7020;100;0;6;1
2;7021;100;0;7;1
2;7022;100;0;8;1
2;7023;100;0;9;1
2;7024;100;0;10;1
2;7025;100;0;11;1
2;7026;100;0;12;1
2;7027;30;0;1;1
2;7028;30;0;2;1
2;7029;30;0;3;1
2;7030;30;0;4;1
2;7031;30;0;5;1
2;7032;30;0;6;1
2;7033;30;0;7;1
2;7034;30;0;8;1
2;7035;30;0;9;1
2;7036;30;0;10;1
2;7037;30;0;11;1
2;7038;30;0;12;1
2;7039;60;0;1;1
2;7040;60;0;2;1
2;7041;60;0;3;1
2;7042;60;0;4;1
2;7043;60;0;5;1
2;7044;60;0;6;1
2;7045;60;0;7;1
2;7046;60;0;8;1
2;7047;60;0;9;1
2;7048;60;0;10;1
2;7049;60;0;11;1
2;7050;60;0;12;1
2;7051;60;0;1;1
2;7052;60;0;2;1
2;7053;60;0;3;1
2;7054;60;0;4;1
2;7055;60;0;5;1
2;7056;60;0;6;1
2;7057;60;0;7;1
2;7058;60;0;8;1
2;7059;60;0;9;1
2;7060;60;0;10;1
2;7061;60;0;11;1
2;7062;60;0;12;1
0;7470;0;0;4;1
0;7471;0;0;6;1
0;7472;0;0;8;1
0;7473;0;0;10;1
0;7474;0;0;12;1
0;7476;0;0;4;1
0;7477;0;0;6;1
0;7478;0;0;8;1
0;7479;0;0;10;1
0;7480;0;0;12;1
0;7097;100;0;2;1
0;7098;100;0;5;1
0;7099;100;0;8;1
0;7100;100;0;11;1
0;7481;0;100;4;1
0;7482;0;100;6;1
0;7483;0;100;8;1
0;7484;0;100;10;1
0;7485;0;100;12;1
1;71;100;100;-1;1
1;72;100;100;-1;1
1;73;100;100;-1;1
1;74;100;100;-1;1
1;75;100;100;-1;1
1;76;100;100;-1;1
1;77;100;100;-1;1
1;78;100;100;-1;1
1;79;100;100;-1;1
1;80;100;100;-1;1
1;81;100;100;-1;1
1;82;100;100;-1;1
1;83;100;100;-1;1
1;84;100;100;-1;1
1;85;100;100;-1;1
1;86;100;100;-1;1
1;87;100;100;-1;1
1;88;100;100;-1;1
1;89;100;100;-1;1
1;90;100;100;-1;1
1;91;100;100;-1;1
1;92;100;100;-1;1
1;93;100;100;-1;1
1;94;100;100;-1;1
1;95;100;100;-1;1
1;96;100;100;-1;1
1;97;100;100;-1;1
1;98;100;100;-1;1
1;99;100;100;-1;1
1;100;100;100;-1;1
1;101;100;100;-1;1
0;102;100;100;-1;1
0;103;100;100;-1;1
1;104;100;100;-1;1
1;105;100;100;-1;1
1;106;100;100;-1;1
1;107;100;100;-1;1
1;108;100;100;-1;1
1;109;100;100;-1;1
1;110;100;100;-1;1
1;111;100;100;-1;1
1;112;100;100;-1;1
1;113;100;100;-1;1
1;114;100;100;-1;1
1;115;100;100;-1;1
1;116;100;100;-1;1
1;117;100;100;-1;1
1;118;100;100;-1;1
1;119;100;100;-1;1
1;120;100;100;-1;1
1;121;100;100;-1;1
1;122;100;100;-1;1
1;123;100;100;-1;1
1;124;100;100;-1;1
1;125;100;100;-1;1
1;126;100;100;-1;1
1;127;100;100;-1;1
1;128;100;100;-1;1
1;129;100;100;-1;1
1;130;100;100;-1;1
1;131;100;100;-1;1
1;132;100;100;-1;1
1;133;100;100;-1;1
1;134;100;100;-1;1
1;135;100;100;-1;1
1;136;100;100;-1;1
1;137;100;100;-1;1
0;138;100;100;-1;1
0;139;100;100;-1;1
1;140;100;100;-1;1
1;141;100;100;-1;1
1;142;100;100;-1;1
1;143;100;100;-1;1
1;144;100;100;-1;1
1;145;100;100;-1;1
1;146;100;100;-1;1
1;147;100;100;-1;1
1;148;100;100;-1;1
1;149;100;100;-1;1
1;150;100;100;-1;1
1;151;100;100;-1;1
1;152;100;100;-1;1
1;153;100;100;-1;1
1;154;100;100;-1;1
1;155;100;100;-1;1
1;156;100;100;-1;1
1;157;100;100;-1;1
1;158;100;100;-1;1
1;159;100;100;-1;1
1;160;100;100;-1;1
1;161;100;100;-1;1
1;162;100;100;-1;1
1;163;100;100;-1;1
1;164;100;100;-1;1
1;165;100;100;-1;1
1;166;100;100;-1;1
1;167;100;100;-1;1
1;168;100;100;-1;1
1;169;100;100;-1;1
1;170;100;100;-1;1
1;171;100;100;-1;1
1;172;100;100;-1;1
1;173;100;100;-1;1
0;174;100;100;-1;1
0;175;100;100;-1;1
1;176;100;100;-1;1
1;177;100;100;-1;1
1;178;100;100;-1;1
1;179;100;100;-1;1
1;180;100;100;-1;1
1;181;100;100;-1;1
1;182;100;100;-1;1
1;183;100;100;-1;1
1;184;100;100;-1;1
1;185;100;100;-1;1
1;186;100;100;-1;1
1;187;100;100;-1;1
1;188;100;100;-1;1
1;189;100;100;-1;1
1;190;100;100;-1;1
1;191;100;100;-1;1
1;192;100;100;-1;1
1;193;100;100;-1;1
1;194;100;100;-1;1
1;195;100;100;-1;1
1;196;100;100;-1;1
1;197;100;100;-1;1
1;198;100;100;-1;1
1;199;100;100;-1;1
1;200;100;100;-1;1
1;201;100;100;-1;1
1;202;100;100;-1;1
1;203;100;100;-1;1
1;204;100;100;-1;1
1;205;100;100;-1;1
1;206;100;100;-1;1
1;207;100;100;-1;1
1;208;100;100;-1;1
1;209;100;100;-1;1
0;210;100;100;-1;1
0;211;100;100;-1;1
1;212;100;100;-1;1
1;213;100;100;-1;1
1;214;100;100;-1;1
1;215;100;100;-1;1
1;216;100;100;-1;1
1;217;100;100;-1;1
1;218;100;100;-1;1
1;219;100;100;-1;1
1;220;100;100;-1;1
1;221;100;100;-1;1
1;222;100;100;-1;1
1;223;100;100;-1;1
1;224;100;100;-1;1
1;225;100;100;-1;1
1;226;100;100;-1;1
1;227;100;100;-1;1
1;228;100;100;-1;1
1;229;100;100;-1;1
1;230;100;100;-1;1
1;231;100;100;-1;1
1;232;100;100;-1;1
1;233;100;100;-1;1
1;234;100;100;-1;1
1;235;100;100;-1;1
1;236;100;100;-1;1
1;237;100;100;-1;1
1;238;100;100;-1;1
1;239;100;100;-1;1
1;240;100;100;-1;1
1;241;100;100;-1;1
1;242;100;100;-1;1
1;243;100;100;-1;1
1;244;100;100;-1;1
1;245;100;100;-1;1
0;246;100;100;-1;1
0;247;100;100;-1;1
1;248;100;100;-1;1
1;249;100;100;-1;1
1;250;100;100;-1;1
1;251;100;100;-1;1
1;252;100;100;-1;1
1;253;100;100;-1;1
1;254;100;100;-1;1
1;255;100;100;-1;1
1;256;100;100;-1;1
1;257;100;100;-1;1
1;258;100;100;-1;1
1;259;100;100;-1;1
1;260;100;100;-1;1
1;261;100;100;-1;1
