MonLevel;ProbGroup1;ProbGroup2;ProbGroup3;ProbGroup4;ProbGroup5;ProbGroup6;ProbGroup7
154;0;0;0;0;0,04;0,01;0,005
155;0;0;0;0;0,04;0,01;0,005
156;0;0;0;0;0,04;0,01;0,005
157;0;0;0;0;0,04;0,01;0,005
158;0;0;0;0;0,04;0,01;0,005
159;0;0;0;0;0,04;0,01;0,005
160;0;0;0;0;0,04;0,01;0,005
161;0;0;0;0;0,04;0,01;0,005
162;0;0;0;0;0,04;0,01;0,005
163;0;0;0;0;0,04;0,01;0,005
164;0;0;0;0;0,04;0,01;0,005
165;0;0;0;0;0,04;0,01;0,005
166;0;0;0;0;0,04;0,01;0,005
167;0;0;0;0;0,04;0,01;0,005
168;0;0;0;0;0,04;0,01;0,005
169;0;0;0;0;0,04;0,01;0,005
170;0;0;0;0;0,04;0,01;0,005
171;0;0;0;0;0,04;0,01;0,005
172;0;0;0;0;0,04;0,01;0,005
173;0;0;0;0;0,04;0,01;0,005
174;0;0;0;0;0,04;0,01;0,005
175;0;0;0;0;0,04;0,01;0,005
176;0;0;0;0;0,04;0,01;0,005
177;0;0;0;0;0,04;0,01;0,005
178;0;0;0;0;0,04;0,01;0,005
179;0;0;0;0;0,04;0,01;0,005
180;0;0;0;0;0,04;0,01;0,005
